keys,en,fr,es
%%PAUSEPAGE_TITLE,Game Paused,Jeu en pause,
%%PAUSEPAGE_QUITGAME,Quit game,Quitter le jeu,
%%PAUSEPAGE_RETURNMENU,Return to menu,Retour au menu,
%%PAUSEPAGE_RESUMEGAME,Resume game,Retour au jeu,
%%RETURN,Return,Retour,
%%KM_SAVEKEYCHANGE,Save changes,Sauvegarder les changements,
%%KM_TITLE,Input configuration,Configuration des touches,
%%KM_RESET,Default layout,Touches par défaut,
%%KM_SEARCH,Search for an action…,Rechercher une action…,
%%ERR_BACKTOMENU,BACK TO MENU,RETOUR AU MENU,
%%ERR_NUM_1337,ERROR 1337,ERREUR 1337,
%%ERR_NUM_1337_MSG,SERVER CONNECTION FAILED,ÉCHEC DE CONNEXION AU SERVEUR,
%%MAINPAGE_ENTER,Enter Universe,Entrer dans l'Univers,
%%MENU_LANGUAGE,Language,Langue,
%%MENU_LANGUAGE_AUTO,Automatic,Automatique,
%%MENU_ON,On,Activé,
%%MENU_OFF,Off,Désactivé,
%%MENU_SETTINGS,Settings,Paramètres,
%%MENU_QUIT,Quit,Quitter,
%%MENU_SETTINGS_TITLE,Settings - %s,Paramètres - %s,
%%MENU_CAT_GENERAL,General,Général,
%%MENU_CAT_GRAPHICS,Graphics,Graphismes,
%%MENU_CAT_AUDIO,Audio,Audio,
%%MENU_CAT_CONTROLS,Controls,Contrôles,
%%MENU_SHOW_DEBUG,Show debug panels (in-game - default Alt+²),Panneaux de débogage (en jeu - Alt+² par défaut),
%%MENU_CARGO_DEBUG,Cargo debug (green envelope on locked items),Débogage du fret (enveloppe verte sur les objets arrimés),
%%MENU_CELESTIAL_MARKERS,Celestial markers (star / planets / moons),Repères célestes (étoile / planètes / lunes),
%%MENU_SURFACE_DEBUG,Surface debug (ground family / how it was found),Débogage du sol (famille de surface / méthode de détection),
%%MENU_VEHICLE_HUD,Vehicle dashboard (speed / rpm / weight / bays),Tableau de bord du véhicule (vitesse / tr-min / poids / baies),
%%MENU_MOVEMENT_DEBUG,Movement debug (speed / wheel / animation),Débogage du déplacement (vitesse / molette / animation),
%%MENU_MONITOR,Monitor,Écran,
%%MENU_MONITOR_N,Monitor %d,Écran %d,
%%MENU_DISPLAY_MODE,Display Mode,Mode d'affichage,
%%MENU_FULLSCREEN,Fullscreen,Plein écran,
%%MENU_WINDOWED,Windowed,Fenêtré,
%%MENU_RESOLUTION,Screen Resolution,Résolution d'écran,
%%MENU_VSYNC,V-Sync,Synchronisation verticale,
%%MENU_SHADOWS,Shadows,Ombres,
%%MENU_SHADOW_DISTANCE,Shadow Distance,Distance des ombres,
%%MENU_DEV_MODE,Dev mode (ignore resolution/fullscreen),Mode dev (ignorer la résolution / le plein écran),
%%MENU_FPS_LIMIT,FPS Limit,Limite de FPS,
%%MENU_FPS_UNLIMITED,Unlimited,Illimité,
%%MENU_FOV,Field of View,Champ de vision,
%%MENU_RES_CONFIRM_TITLE,Resolution,Résolution,
%%MENU_RES_KEEP,Keep,Garder,
%%MENU_RES_REVERT,Revert,Revenir,
%%MENU_RES_CONFIRM,"Keep this resolution?
Reverting automatically in %d s.","Garder cette résolution ?
Retour automatique dans %d s.",
%%MENU_AUDIO_GENERAL,General,Général,
%%MENU_AUDIO_MUSIC,Music,Musique,
%%MENU_AUDIO_SFX,SFX,Effets,
%%MENU_AUDIO_VOIP,VoIP,VoIP,
%%MENU_AUDIO_MIC,Microphone (device),Microphone (périphérique),
%%MENU_AUDIO_SPEAKER,Speaker (device),Haut-parleur (périphérique),
%%MENU_AUDIO_TEST_MIC,Testing microphone,Test du microphone,
%%MENU_AUDIO_TEST,Test,Tester,
%%MENU_AUDIO_TEST_SPEAKER,Testing speaker,Test du haut-parleur,
%%MENU_LOADING,Loading the Universe...,Chargement de l'Univers...,
%%HUD_SPAWNING,Spawning...,Apparition...,
%%ACT_MOVE_FORWARD,Move forward,Avancer,
%%ACT_MOVE_BACK,Move back,Reculer,
%%ACT_MOVE_LEFT,Strafe left,Pas sur la gauche,
%%ACT_MOVE_RIGHT,Strafe right,Pas sur la droite,
%%ACT_JUMP,Jump / Vault,Sauter / Franchir,
